id,Car_ID,Customer_ID,Payment Method,Date Added
1,39,15,maestro,2021-02-18
2,88,41,mastercard,2021-06-29
3,93,36,solo,2021-07-21
4,6,45,jcb,2021-07-13
5,22,58,visa-electron,2021-03-25
6,57,48,visa-electron,2021-11-10
7,1,10,jcb,2021-05-21
8,14,9,americanexpress,2021-05-22
9,60,15,diners-club-carte-blanche,2021-08-19
10,64,29,jcb,2021-12-16
11,68,36,laser,2021-07-18
12,87,2,jcb,2021-03-29
13,35,33,jcb,2021-07-27
14,38,24,china-unionpay,2021-03-22
15,19,12,jcb,2021-11-11
16,99,56,jcb,2021-05-18
17,66,35,china-unionpay,2021-05-24
18,85,3,visa-electron,2021-11-18
19,9,47,visa-electron,2021-04-25
20,34,36,bankcard,2021-09-30
21,64,56,jcb,2021-10-22
22,60,31,diners-club-enroute,2021-08-10
23,11,53,mastercard,2021-11-18
24,34,53,bankcard,2021-06-12
25,100,9,jcb,2021-04-22
26,59,11,americanexpress,2021-07-01
27,100,15,jcb,2021-07-12
28,24,39,jcb,2021-12-10
29,40,45,jcb,2021-07-12
30,20,59,jcb,2021-11-15
31,88,2,jcb,2021-05-10
32,44,20,visa-electron,2021-10-27
33,20,36,jcb,2022-01-09
34,1,44,switch,2021-08-22
35,56,56,bankcard,2021-12-20
36,53,25,jcb,2021-08-19
37,14,31,mastercard,2021-07-17
38,48,17,jcb,2021-06-20
39,89,13,maestro,2021-02-27
40,85,28,instapayment,2021-06-30
41,88,2,jcb,2021-06-19
42,46,35,mastercard,2021-03-13
43,85,49,americanexpress,2022-01-20
44,41,6,americanexpress,2021-09-11
45,54,46,switch,2021-03-06
46,21,16,americanexpress,2021-06-10
47,58,15,visa-electron,2022-01-04
48,70,2,maestro,2021-08-27
49,89,28,jcb,2021-07-22
50,20,41,jcb,2022-01-04
51,1,2,visa-electron,2021-03-14
52,45,29,jcb,2021-04-22
53,84,5,jcb,2021-07-29
54,96,13,visa-electron,2022-01-27
55,16,12,jcb,2021-07-08
56,9,38,jcb,2021-06-03
57,44,4,visa,2021-05-26
58,39,46,solo,2021-06-23
59,87,12,americanexpress,2021-11-06
60,19,56,diners-club-carte-blanche,2021-11-02
61,82,31,maestro,2022-01-20
62,1,42,visa,2021-05-20
63,95,4,americanexpress,2021-12-23
64,9,6,china-unionpay,2021-12-31
65,93,26,diners-club-us-ca,2021-08-22
66,71,47,visa-electron,2021-04-21
67,5,25,jcb,2022-01-31
68,86,18,bankcard,2022-01-19
69,100,57,diners-club-enroute,2021-05-20
70,81,9,mastercard,2021-10-29
71,23,39,switch,2021-07-08
72,3,3,switch,2021-03-07
